Reference,Pad,CAD X mm,CAD Y mm (down-positive),Drill mm,Process
C1,2,17.299999,9.599999,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
C2,1,10.1,13.7,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
C2,1,10.2,13.2,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
C2,2,12.099999,13.299999,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
C3,1,27.75,3.5,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
C3,1,28.35,3.5,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
C3,2,29.799999,4.099999,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
C4,1,24.2,9.45,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
C4,1,24.8,9.45,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
C40,1,34.2,22.9,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
C5,1,31.2,7.95,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
C5,1,31.8,7.95,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
C52,1,26.1,37.4,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
C71,2,25.999999,11.2,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
D1,1,3.25,13.0,0.3,Filled/capped/planarized; factory must also evaluate partial overlaps
D1,1,4.25,13.0,0.3,Filled/capped/planarized; factory must also evaluate partial overlaps
D1,2,3.25,9.0,0.3,Filled/capped/planarized; factory must also evaluate partial overlaps
D1,2,4.25,9.0,0.3,Filled/capped/planarized; factory must also evaluate partial overlaps
F1,1,11.049999,30.2,0.3,Filled/capped/planarized; factory must also evaluate partial overlaps
F1,1,11.049999,30.8,0.3,Filled/capped/planarized; factory must also evaluate partial overlaps
F1,1,11.65,30.2,0.3,Filled/capped/planarized; factory must also evaluate partial overlaps
F1,1,11.65,30.8,0.3,Filled/capped/planarized; factory must also evaluate partial overlaps
F1,2,13.85,30.2,0.3,Filled/capped/planarized; factory must also evaluate partial overlaps
F1,2,13.85,30.8,0.3,Filled/capped/planarized; factory must also evaluate partial overlaps
F1,2,14.45,30.2,0.3,Filled/capped/planarized; factory must also evaluate partial overlaps
F1,2,14.45,30.8,0.3,Filled/capped/planarized; factory must also evaluate partial overlaps
Q1,1,3.945,34.55,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
Q1,1,4.545,34.55,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
Q1,3,3.945,36.45,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
Q1,3,4.545,36.45,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
Q2,1,8.944999,34.55,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
Q2,1,9.545,34.55,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
Q2,3,8.944999,36.45,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
Q2,3,9.545,36.45,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
Q3,1,13.944999,34.55,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
Q3,1,14.545,34.55,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
Q3,3,13.944999,36.45,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
Q3,3,14.545,36.45,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
Q5,1,39.3,5.2,0.2,Filled/capped/planarized; factory must also evaluate partial overlaps
